inquiry_no,alias,order_number,report_total,mis_date
20855,GE,10610105,5642,1-Jun-2018
20857,Piramal,11210020,24933.6,13-Jun-2018
20860,Piramal,11210038,17000,16-Jul-2018
20876,Trident Computer,10210401,203159,31-May-2018
20879,AMAT,10210323,468186,5-Jun-2018
20880,AMAT,10210342,15164.3,7-Jun-2018
20881,Piramal,11210014,7453.65,4-Jun-2018
20886,Henkel,10210360,70500,11-Jun-2018
20887,Duroshox,10210648,41480,1-Aug-2018
20890,GE,10610108,390400,4-Jun-2018
20892,Adino Telecom,10210393,1585,15-Jun-2018
20902,Cummins,10210562,24000,17-Jul-2018
20903,Henkel,10210334,94500,5-Jun-2018
20905,Godrej,10210318,15600,4-Jun-2018
20906,Bharat Container,10210317,7476,4-Jun-2018
20910,Cummins,10210361,7103.2,11-Jun-2018
20914,Henkel,10210759,244735,17-Aug-2018
20916,Henkel,10910036,6769,15-Jun-2018
20916,Henkel,10910036,-6769,1-Aug-2018
20916,Henkel,10910073,6769,10-Aug-2018
20917,GE,10610111,64200,5-Jun-2018
20917,GE,10610237,1200,5-Jun-2018
20918,Henkel,10210455,20684.25,27-Jun-2018
20919,Compass India Support,10210321,21250,4-Jun-2018
20920,GE,10610293,20092,14-Aug-2018
20923,IR,10610110,2200,4-Jun-2018
20924,Godrej,10210362,2630,11-Jun-2018
20928,IR,10610130,48400,13-Jun-2018
20929,GHCL,10610120,6573,11-Jun-2018
20931,Piramal,11210021,5647.2,14-Jun-2018
20933,Piramal,11210015,17325,6-Jun-2018
