Inquiry Number,SO #,SUM of Selling Price (as per SO / AR Invoice),SUM of Gross Total Selling
19740,10610094,40160,45584
19752,10210343,92356,108980
19754,10210300,27000,34560
19755,10610058,1368,1614
19756,10210171,67631,79805
19757,11210006,21132,24935
19758,10910039,27283,34234
19766,10210262,102216,120615
19767,10610070,6640,7835
19769,10210150,198948,234759
19781,10910016,3750,4425
19784,10210173,15532,18328
19787,10210154,56250,63000
19788,10210293,41839,49370
19788,10210303,41839,49370
19791,10610061,3800,3990
19793,10210243,320758,378495
19795,10210211,2600,3068
19802,10210308,62625,73898
19803,10210180,83522,98556
19810,10210371,2750,3245
19815,10210184,8147,9613
19825,10210583,32502,39433
19826,10210312,60000,70800
19829,10210166,151070,178263
19831,10210178,475,561
19836,10210188,48516,62100
19838,10210261,307300,362614
19839,10210385,14000,16520
19840,10210277,6032,7118
19842,10210442,11000,12980
19843,10210175,3178,3750
19845,11210026,10750,12685
19847,10610113,29706,35053
19848,10610187,60000,70800
19849,10610193,14400,16992
19849,10610216,14400,16992
19849,10610221,9600,11328
19849,10610235,4500,5310
19849,10610351,4500,5310
19849,10610356,21600,25488
19849,10610388,1200,1416
19856,10610258,41192,48607
19857,10610205,22425,26462
19860,11210004,7580,8944
19861,10210203,102132,120516
19862,10610073,8380,9888
19863,10610074,8380,9888
19865,10610075,8380,9888
19866,10610133,299860,353835
19875,10211179,120000,120000
19876,10610115,353932,417640
19877,10910023,79237,93500
19878,10610116,27500,30800
19881,10210240,2122,2504
19883,10710003,23774,28053
19885,10210660,899967,899967
19888,10210234,125000,147500
19892,10210460,3702,3702
19899,10210286,24500,28910
19903,10210337,23080,27234
19907,10210350,35610,37969
19909,11010002,2768,3266
19911,10210529,61801,72925
19913,10210402,21850,25783
19917,10610095,138924,155594
19921,10610093,195935,231203
19922,10210224,5120200,6041836
19923,10210191,10000,10500
19926,10610079,44400,52392
19931,10210233,240000,252000
19937,11210003,3441,4060
19940,10210420,105227,124168
19942,10210199,266489,322649
19944,11210010,2460,3039
19957,10210217,27000,31860
19959,10610082,11040,12820
19959,10710005,11040,12820
19966,10210238,1930,2277
19967,10610101,30637,36152
19968,10210493,6608,7401
19971,10210197,17085,20160
19971,10210212,54103,63841
19973,10910044,30341,35802
19980,10210216,33000,38940
19982,10210204,40840,48191
19991,10210202,1488,1756
20001,10210205,56250,63000
20002,10210333,15132,16948
20004,10910022,0,0
20004,10910149,131898,149430
20007,10210332,2400,2832
20020,10210249,3282,3872
20024,10610084,2498,2948
20026,10210869,52668,62148
20027,10210214,13123,15307
20029,10210399,1455476,1716947
20036,10210221,16561,17389
20037,10210215,33000,38940
20038,10610164,25587,30193
20039,10210219,34454,36177
20041,10210259,61200,72216
20058,10610088,1584,1869
20063,10210549,12872,15189
20064,10210528,13425,15377
20065,10210246,5127,6050
20067,10210324,135500,159890
20069,10910017,730,861
20072,10210248,1785,2106
20073,10210270,58000,68440
20074,10210226,12569,13608
20075,10210225,4410,5204
20076,10210272,15555,18355
20078,10210241,1241,1464
20081,10210266,27158,32046
20085,10210239,739,872
20086,10210279,61600,72688
20088,10610109,26320,31058
20096,10610089,29478,34783
20099,10210269,19451,24897
20100,10210267,7263,8570
20102,11210012,6631,7825
20104,10910019,29500,34810
20106,10210468,8100,9558
20109,10610169,117194,138289
20115,10910053,180400,212872
20116,10910021,4152,4899
20121,10210353,7466,8810
20121,10210501,9736,11488
20124,11210005,4884,5763
20126,10210295,1803600,1803600
20131,10210258,139217,164276
20132,10210294,0,0
20133,10910037,368050,434299
20135,10210273,13500,15930
20145,10210288,47664,56243
20146,10210252,98289,103203
20147,10210254,2166,2556
20151,10610085,947363,994731
20155,10610107,19900,24922
20158,10210354,33000,38940
20161,10210304,39000,46020
20166,10610158,177024,208888
20167,10610204,15858,18712
20168,10210344,16454,19415
20197,10210547,25879,30537
20271,10210282,168420,198736
20488,10210275,5700,6726
20492,10210384,142105,167684
20493,10210397,19594,23121
20494,10210836,20200,23836
20495,10210320,12000,14160
20499,11210009,207215,244514
20582,10210260,45000,50400
20583,10210278,5286,6238
20589,10210268,104406,123199
20597,10210263,4880,5758
20597,10210264,4880,5758
20600,10210423,138850,163843
20601,10210305,13366,15772
20610,10610117,10675,12597
20611,10610112,8997,10616
20612,10210599,0,0
20612,10210839,81290,95922
20627,10210301,41625,49118
20631,10610129,22827,26936
20635,10210355,31000,36580
20636,10210726,151023,173965
20643,10610096,45000,50400
20647,10210421,40055,40055
20651,10610091,15048,17757
20662,10210631,87500,103250
20672,10210569,68814,68814
20674,10210518,39132,50089
20680,10210338,390000,460200
20683,10210621,39046,46074
20685,10210299,2750,3245
20706,10210280,19500,23010
20707,10210326,34222,34222
20708,10210349,43286,51077
20712,10210283,33743,39817
20714,10210310,66818,78845
20716,10210533,6342,6342
20717,10210291,4200,4956
20720,10610104,226400,267152
20721,10210325,7506,8857
20722,10610172,353932,417640
20734,10210363,4650,5487
20736,10210473,18694,22059
20737,10910056,71000,83780
20745,10210365,4886,5703
20753,10210440,5000,5250
20755,10610202,754655,863363
20758,10210281,7577,8940
20763,11210013,304990,359888
20766,10210451,114719,135368
20779,10610097,7500,8400
20783,10210437,6520,7694
20784,10210330,31730,37441
20785,10610098,18713,19649
20786,10610106,38640,45595
20787,10210517,12632,14147
20792,10610102,627020,739884
20799,10610210,28000,33040
20807,10210359,500,590
20811,11210011,5079,5994
20813,10210351,1311974,1548129
20823,10610295,41192,48607
20826,10210322,15000,17700
20827,10210379,3215,3601
20828,10910030,1482621,1749493
20830,10910025,222000,261960
20831,10210431,28000,33040
20836,10210864,430095,507512
20838,10210341,8023,9467
20839,10210306,4277572,5047535
20840,10210879,351206,351206
20841,10210612,95030,112135
20844,10210296,1589994,1589994
20849,10610613,2300,2612
20854,10210309,1894737,1989474
20855,10610105,5642,6658
20857,11210020,24934,29422
20860,11210038,17850,21063
20876,10210401,203159,239728
20879,10210323,468186,552459
20880,10210342,15164,17894
20881,11210014,7454,8795
20886,10210360,70500,83190
20887,10210648,41480,48946
20890,10610108,390400,460672
20892,10210393,1585,1870
20902,10210562,24000,28320
20903,10210334,94500,111510
20905,10210318,15600,18408
20906,10210317,7476,8822
20910,10210361,7103,7103
20914,10210759,244735,288787
20916,10910036,0,0
20916,10910073,6769,7987
20917,10610111,64200,75756
20917,10610237,1200,1416
20918,10210455,20684,24407
20919,10210321,21250,22313
20920,10610293,20092,23709
20923,10610110,2200,2596
20924,10210362,2630,3103
20928,10610130,48400,57112
20929,10610120,6573,7756
20931,11210021,5647,6664
20933,11210015,17325,19404
20934,10910029,76270,89999
20937,10210635,64000,75520
20938,10910026,12500,14750
20939,10210387,46158,54466
20942,10610139,85000,100300
20943,10210339,3297050,3890519
20944,10210398,2500,2950
20947,11210016,7969,9403
20948,10210370,8724,11166
20956,10210412,229660,270999
20959,10610175,5935,7003
20965,10210408,472750,557845
20966,10910059,105600,135168
20971,10610151,48944,57754
20972,10210336,26316,31053
20973,10210462,0,0
20973,10210846,996595,1175982
20975,10210580,0,0
20975,10210696,113432,133850
20980,11210017,53340,59741
20981,10610138,15987,18865
20983,10210670,5386,6052
20984,10210348,12012,13254
20987,10910028,2076,2450
20988,10610131,171900,171900
20989,10210356,312120,368302
20990,10210347,150158,177187
20993,10210467,228887,270087
20995,10210345,202500,226800
20996,10210478,26024,30708
20997,10211125,190000,224200
21001,10610166,19000,22420
21003,10210372,32232,38034
21005,10210375,17916,21140
21009,10910031,15645,18461
21011,10210430,15842,18694
21015,10610174,33600,39648
21016,10610217,40674,47995
21017,10610121,481,568
21018,10610119,3287,3878
21019,10610125,774,913
21020,10610126,3746,4420
21022,10210567,4200,4956
21023,10610123,15302,18057
21024,10610252,32946,38876
21026,10910035,117766,135797
21028,10610242,7314,8631
21030,10610135,3150,3717
21033,10610128,509,601
21037,10210561,124793,147256
21040,10210382,6118,7219
21044,11210018,34650,38808
21045,10210405,12210,14408
21046,10210358,69410,81904
21048,10210364,2126,2509
21049,10210450,26316,31053
21050,10210435,10000,12800
21054,10210374,4820,5688
21059,11210039,50740,58350
21060,10210422,32800,32800
21061,10210428,27400,27400
21065,10210459,21500,25370
21066,10210369,2560,3277
21070,10610127,117500,138650
21073,10610168,2800,3304
21075,10210414,10300,12154
21077,11210019,110,141
21080,10610153,17295,20408
21083,10910032,2076,2450
21087,10210458,40037,47243
21091,10210568,21136,24940
21092,10210477,18948,21222
21093,10210395,23368,26172
21097,10210367,2298,2711
21099,10210560,284500,347039
21100,10210417,2278,2688
21103,10610124,19995,23594
21105,10210556,41000,48380
21107,10910033,6920,8166
21108,10210429,72751,85846
21109,10210415,103741,122414
21117,10210426,24027,28352
21118,10610150,46046,51913
21120,10210516,31294,40056
21121,10610140,144012,169935
21122,10210558,32368,38194
21123,10610177,4772,5631
21124,10210830,9138,10783
21128,10210472,9789,11551
21130,10910034,2076,2450
21132,10610181,14190,16744
21134,10610132,87400,91770
21135,10610155,5114,6034
21137,10610171,10388,12257
21141,10610137,2800,3304
21149,10210719,170000,200600
21150,10210403,23681,30097
21156,10210388,3620,4272
21161,10610149,75920,89586
21162,10210441,11464,11464
21163,10210629,32372,38199
21165,10210520,310526,366421
21171,10210400,98418,103339
21172,10210390,88000,98560
21174,10210454,15087,16919
21176,10210396,13151,15518
21179,10210980,510000,576600
21186,10210444,9150,10797
21190,10210492,12651,14929
21191,10210625,17666,20846
21192,11210034,7439,8778
21193,11210027,47613,55633
21195,10210411,43520,51354
21201,10210504,18000,21240
21202,10610143,40699,47751
21209,10610141,10849,12802
21210,10210406,8989,9724
21210,10210499,727,857
21214,10610144,77220,91120
21215,10210617,32434,37710
21216,10610142,54080,63814
21221,10610148,3000,3540
21224,10610145,760,897
21225,10210418,5846,6898
21226,10210650,41498,48967
21228,10210439,14407,17000
21229,10610239,10379,12102
21231,10910043,1456781,1719002
21236,10210413,50277,59327
21240,10210497,3414,4029
21241,10210433,23188,29681
21242,10210436,773819,913106
21243,10210640,8000,8960
21244,10210494,49790,53512
21247,10910095,43111,50871
21250,10610200,1003,1184
21255,10910038,202493,238942
21264,11210024,2835,3345
21269,10210438,6150,7257
21270,10610154,3789473,4471578
21272,11210022,24000,28320
21275,10210600,8500,10030
21276,10210491,4671,5471
21278,11210030,10300,11238
21287,10610173,28194,33269
21293,10210449,24930,31910
21294,10210424,142950,168681
21295,10210474,194737,204474
21297,10210425,1358574,1596617
21301,10610184,2750,3245
21302,11210037,8366,9872
21304,10610198,38498,44298
21307,10210427,9000,10620
21310,10210457,2253,2659
21313,10610159,4533,5349
21315,10210564,108790,135998
21325,10210432,85970,101445
21326,10210434,32579,38444
21329,10210511,5400,6372
21331,10610160,14400,18432
21336,10610167,28465,33589
21337,10610162,7750,9145
21347,10210574,28055,33105
21349,10610186,17498,20647
21350,10210596,294200,347156
21353,10210464,9894,11675
21354,10210592,18440,21759
21356,10210447,1300,1534
21359,10210519,39132,50089
21361,10210634,26279,33637
21364,10610165,6000,7080
21365,10610363,560677,661566
21366,10210480,14044,16572
21367,10211055,29095,34332
21369,10610170,1560,1747
21376,10210571,173550,204789
21378,10610188,18360,23501
21381,10610211,24430,28827
21390,10210553,2529,2985
21399,11210023,9572,11295
21401,10210790,21000,22050
21404,10610176,1050,1176
21405,10210692,73756,87032
21413,10211235,3515728,3691514
21416,10210545,3870,4567
21419,10610209,125040,147547
21419,10610224,75080,88594
21421,10210785,92750,109445
21423,10910047,100440,118519
21425,10910052,115500,136290
21426,10910040,365815,431662
21442,10610179,6440,7599
21445,10210448,168311,198607
21446,10210456,2253,2659
21447,10910064,0,0
21455,10210469,0,0
21455,10210771,176072,207765
21458,10211015,91186,107600
21460,10610298,59947,70738
21460,10610299,15647,18463
21462,10910041,4350,5133
21463,10210495,3445,4065
21464,10610195,11500,13172
21466,10210768,11789,13911
21468,10210463,5120,6042
21469,10210996,57728,73892
21473,10210604,0,0
21473,10910074,9075,10688
21481,10210647,2434,2872
21482,10610206,14340,16922
21486,10210475,26917,31762
21487,10610180,63722,81564
21491,11210029,12718,15008
21492,10210655,21110,24910
21499,10210632,65463,77246
21501,10610190,13826,16315
21508,10610183,54000,63720
25001,11210028,38906,45909
25001,11210042,1060,1251
25003,10610212,553420,683431
25005,11210056,125000,147500
25007,10210541,111234,131256
25009,10210668,14667,17307
25012,10210513,61190,72204
25014,10210715,91985,108542
25015,10210465,4977,5872
25021,10610185,66552,78531
25022,10210471,247394,297162
25025,10210576,12000,12600
25031,10210466,94000,110920
25038,10210806,4250,5015
25039,10610203,332310,392126
25042,10610274,0,0
25042,10610436,90042,106250
25043,10210470,10057,11867
25044,10610375,43200,50976
25046,10910057,31520,37194
25047,10210697,233945,299450
25049,10210630,113763,133296
25052,10610259,350369,413435
25053,10210797,52074,58323
25068,10610244,25918,30583
25069,10610309,20128,23751
25069,10610314,20128,23751
25071,10610189,8750,10325
25073,10610223,11780,13900
25076,10610208,6050,7139
25077,10610213,3286,3877
25081,10210479,206318,231076
25084,10210486,47027,58992
25085,10210534,262086,309261
25088,10610196,11303,13338
25089,10610191,25000,29500
25090,10210603,23285,27476
25097,10610509,3484351,3658568
25102,10210524,1611,1691
25106,10910116,33950,40061
25111,10210550,213096,251453
25112,10910049,9978,12772
25114,10610273,4000,4720
25116,10210476,94500,111510
25117,10210485,14911,16275
25119,10210507,11972,14127
25120,10210641,42815,42815
25125,10210535,7165,8455
25129,10210537,6002,6745
25130,10610192,3746,4420
25137,10210490,15957,18829
25139,10210590,37002,43662
25146,10210587,8700,10266
25155,10211114,269407,317900
25157,10610226,2700,3186
25160,10210487,39900,39900
25162,10210508,7500,8850
25167,10210489,2040,2407
25169,10610335,34788,41050
25170,10210789,35873,41936
25171,10610231,70000,82600
25172,10610254,28156,31293
25175,10210532,24973,30992
25180,11210032,7483,8829
25185,10210607,5325,5699
25187,10910046,1450,1711
25188,10210527,375603,443211
25189,10210506,9894,11675
25190,10210694,94057,115358
25191,10910045,725,856
25197,10210502,63328,74727
25198,10610240,14047,16575
25208,10210500,23374,27581
25211,10210623,121750,143665
25212,10210968,6588,7774
25216,10210615,98750,116360
25218,10210526,15426,18203
25219,10210515,7308,8623
25221,11210043,10909,12873
25225,10610255,277525,299836
25225,10610551,13000,15340
25225,10610556,1200,1416
25231,10610267,106226,125347
25234,10210503,8519,10904
25235,10910048,2175,2567
25236,10210705,5000,5900
25237,10210505,875380,1032948
25239,10610207,31578,37262
25240,10610246,52568,55196
25247,10210741,79580,93904
25248,11210031,8140,9605
25250,10210662,31974,34189
25253,10610199,6440,7599
25254,10210575,5371,6833
25266,10210628,48205,56882
25273,10211057,37913,37913
25274,10210521,99602,104582
25283,10210593,5558,5836
25284,10210914,31611,37301
25286,10210773,30581,36086
25290,10210523,10912,12876
25297,10210758,237497,280246
25301,10210636,2955,3310
25304,10910050,2175,2567
25305,10910051,2175,2567
25307,10210536,15450,15450
25308,10210912,52700,62186
25311,10610214,18640,21995
25325,10210565,10044,11852
25326,10610361,10900,11445
25328,10910071,48510,57092
25329,10210559,0,0
25329,10210780,311125,367128
25331,10210687,2435,2873
25336,10610236,360,425
25337,10610312,27060,31931
25338,10211350,25800,30444
25339,10210551,9166,10816
25342,11210033,19480,21873
25343,10610276,7230,8531
25347,10210591,9706,11453
25359,10210554,1369844,1616416
25360,10210601,1680978,1983555
25361,10210586,5775,6815
25367,10210552,2988,3526
25371,10210544,342740,404433
25373,10211165,260000,260000
25376,10210538,9566,11288
25380,10210620,29320,34598
25383,10210893,399000,399000
25387,10210581,12125,15520
25388,10210614,167070,209673
25390,11210036,88275,112992
25397,11210035,1350,1593
25401,10210540,1400,1652
25403,10210563,936,1105
25406,10210546,119494,141003
25414,10610416,15260,18007
25417,10910054,2175,2567
25421,10210548,2400,2832
25422,10210624,147368,173894
25429,10610618,20900,24662
25431,10210702,4626,5459
25432,10210616,36842,43474
25451,10211108,76538,90315
25461,10610215,515,608
25464,10610263,11400,12768
25468,10610234,24685,29128
25474,10210557,7778,9178
25477,10910091,357000,421260
25480,10210582,360000,424800
25481,10910082,271549,320428
25489,10210911,53750,60856
25491,10610218,19706,24679
25497,10210703,327800,386804
25502,10210698,8250,9735
25504,10210594,9680,11422
25507,10910055,2175,2567
25509,10610220,700,896
25512,10610222,57386,64272
25516,10610251,7500,8400
25520,10610225,14725,17376
25522,10610257,206700,243906
25525,10210595,88354,113093
25526,10210585,6256,7382
25527,10610227,5890,6950
25528,10210700,4262,5029
25529,10210613,79807,94172
25530,10210570,52824,62332
25535,10210573,21200,25016
25537,10610238,10265,12113
25538,10210572,30060,35471
25540,10610243,1103,1302
25542,10210597,166387,196336
25548,10210676,53613,63264
25550,10210598,29944,35334
25551,10210663,4880,5758
25552,10610228,85904,101367
25556,10610250,45320,53478
25560,10210605,852849,1006362
25561,10210609,265189,312923
25562,10610233,42500,50150
25564,10210579,1470616,1735327
25567,10610280,20634,24348
25568,10610262,5850,6903
25574,10210643,7330,8649
25575,10210644,225000,265500
25578,10210646,1428,1685
25579,10610318,84801,99889
25580,10210584,23737,28010
25581,10210915,65181,76913
25589,11210041,17799,20590
25593,10610264,6333,7473
25598,11210053,33150,39117
25601,11210054,75806,89451
25603,11210040,6290,7422
25610,10210683,21168,24978
25613,10210730,126533,149308
25628,10210589,6388,7538
25629,10210712,3943,4653
25633,10610245,11838,13969
25634,10610241,62478,74375
25639,10610283,10528,12422
25641,10210642,61776,72896
25642,10210619,93772,110651
25643,10210611,152659,177201
25653,10610414,12500,14750
25654,10210608,148250,174935
25658,10610291,17100,20178
25666,10210653,140685,166008
25674,10210827,13500,15930
25677,10610265,16500,19470
25679,10210735,10086,11901
25681,10610247,819,966
25682,10610248,2893,3240
25691,10210638,3300,3894
25693,10210756,368800,435184
25696,10210693,6705,7912
25697,10210606,560000,660800
25698,10210765,0,0
25699,10211093,590000,696200
25702,10211058,19800,23364
25704,10210618,7921,9347
25706,10210610,3240,3823
25711,10210645,117263,138370
25712,10610249,91,107
25723,10210750,50071,59084
25724,11210044,14459,17062
25727,10210863,15094,17811
25732,10610366,7944,9374
25733,10210817,68900,72345
25739,10910155,12650,14927
25744,10610253,32946,38876
25748,10610390,111728,131839
25750,11210046,46670,53547
25754,10910060,30700,36226
25765,10210685,39993,39993
25767,10210622,49127,57969
25768,10210627,5732,6764
25769,10210724,6316,7453
25776,10210727,7369,8695
25780,10210757,6600,7788
25781,10210626,20842,24594
25784,10610275,20156,23784
25786,11210045,9666,11101
25793,10910058,35500,41890
25794,10210704,41565,49047
25795,10210637,48334,57034
25797,10210707,84741,99994
25798,10210684,118948,140359
25801,10610256,14910,19085
25809,10210688,12436,14674
25815,10210690,168721,199090
25817,10210745,3895,4596
25819,10210903,138045,164572
25824,10210815,125204,147741
25825,10910068,1100,1298
25827,10910061,7800,8190
25834,10210960,94440,111439
25836,10210651,138157,163025
25837,10210717,7185,8478
25838,10210743,69120,81562
25839,10210794,62878,74196
25848,10210639,90300,106554
25851,10210633,1469564,1734086
25853,10210680,115140,135865
25854,10210664,8032,9478
25855,10210654,1081400,1276052
25858,10210850,7298,8612
25861,10610261,29582,33132
25865,10910066,264000,337920
25876,10210760,139615,164745
25878,10210679,16700,19706
25879,10210776,800,840
25880,10211046,47790,56392
25880,10211069,6000,7080
25880,10211112,1154,1362
25880,10211124,46636,55030
25883,10210652,24300,28674
25884,10610292,175180,206712
25887,10210925,16187,19101
25888,10210656,29474,34779
25889,10610268,80091,94507
25898,10910089,61600,72688
25903,10910070,14800,17080
25905,10210753,3321,3487
25906,10210649,70437,83116
25909,10210721,13849,16342
25910,10210695,34409,40603
25911,10610287,11640,13735
25914,10210675,7447,8787
25918,10210672,18150,21191
25924,10210674,2229,2496
25925,10210671,5138,5839
25926,10210706,37204,43901
25929,10210657,45804,54049
25939,10610360,4457,5259
25944,10210748,10801,13825
25945,10210673,2409,2735
25947,11210047,8158,9626
25949,10910062,20550,23016
25949,10910063,20550,23016
25950,10210725,136684,161287
25951,10210796,13222,14916
25953,10610266,42500,50150
25954,10610315,3200,3776
25957,10610269,8924,10530
25958,10210881,515873,608730
25965,10210658,7447,8787
25966,10610387,12000,14160
25969,10210661,18432,21750
25971,10210678,10500,12390
25973,10610271,1944,2177
25974,10610272,89460,105563
25975,10210666,171482,202349
25978,10210804,1942,2291
25988,10210713,3362,3967
25994,10610406,54219,63978
25995,10210708,2856,3370
25999,10610339,39564,46686
26002,10210667,6211,7328
26003,10210731,8618,10169
26005,10210665,1038370,1225277
26012,10210751,7014,8277
26017,10610270,185725,208012
26017,10610591,55718,65747
26017,10610592,42275,49885
26018,10210681,456218,538337
26019,10211182,28089,33145
26025,10210742,31984,37741
26027,10210744,255920,301986
26034,10910094,72877,85994
26037,10210689,125654,148272
26041,10210800,26064,30756
26052,10211210,11500,13570
26057,10910065,2175,2567
26058,10210682,94500,111510
26062,10210710,0,0
26062,10211065,1079,1273
26068,10211178,1070758,1263494
26072,10210686,62082,73257
26076,10211177,800,840
26085,11210048,10083,11897
26086,10210848,50609,59719
26089,10210899,614600,725228
26090,10210851,2000,2000
26093,10610278,7770,9169
26093,10610288,6000,7080
26093,10610316,12000,14160
26093,10610317,6000,7080
26093,10610341,2400,2832
26093,10610350,2400,2832
26093,10610353,2400,2832
26093,10610355,12000,14160
26104,10210699,30988,36566
26106,10610328,248162,292831
26108,10610277,57000,67260
26112,10210728,41306,48742
26117,10210709,163025,192370
26121,10210701,7230,8531
26121,10210831,9640,11375
26122,10910067,3500,3938
26122,10910069,3500,3938
26125,10610279,17526,20681
26131,10210714,26209,33548
26132,10210919,32000,37040
26134,10210855,13920,16426
26141,10210896,70400,79822
26142,10210734,130874,154431
26143,10210729,3350,3953
26146,10610331,6970,8225
26151,10610281,2629,3102
26152,10210733,14625,17258
26153,10210711,11000,12980
26155,10210818,66315,78252
26159,10610303,5749,6784
26160,10210722,6580,7764
26161,10610282,109,128
26167,11210049,1025,1209
26169,10910077,132000,168960
26175,10210762,33860,39955
26177,10610310,15800,17696
26178,10210716,16240,18171
26179,10210880,48000,50400
26183,10211032,44280,52250
26187,10210954,3766,4444
26188,10610305,15385,18154
26196,10910131,516000,577920
26200,10210788,3200,3584
26201,11210051,63156,74524
26204,11210050,7053,8323
26205,10610286,21053,24843
26206,10910075,2175,2567
26207,10210838,5000,5900
26211,10910072,2175,2567
26213,10910080,2175,2567
26214,10210763,72712,85800
26220,10210955,7137,8421
26223,10210767,19211,22669
26224,10610285,1795,2118
26226,10210810,129000,152220
26228,10210752,6588,7774
26229,10210723,1650,1947
26232,10610326,866,1022
26234,10210787,1304,1539
26245,10210808,86777,102397
26248,10210739,25778,30418
26251,10610332,25116,29637
26252,10210736,117263,138370
26252,10211307,117263,138370
26253,10610289,18000,21240
26257,11210052,2576,3040
26261,10610457,32568,38430
26263,10210732,42220,49820
26268,10610290,1391626,1642119
26271,10610359,26966,31820
26271,10610362,26966,31820
26273,10210737,69031,81457
26274,10210754,90759,107095
26276,10210994,209982,247779
26278,10210783,1637,1833
26281,10210823,2800,3304
26285,10210738,0,0
26285,10211300,1711,2018
26287,10210761,10090,11498
26288,10210793,45054,53164
26289,10210749,1144,1350
26293,10210814,8950,10561
26299,10210746,117263,138370
26301,10210786,137932,162760
26306,10210990,17612,20782
26308,10210740,21680,25582
26311,10610392,35125,41448
26315,11210055,3624,4276
26318,10610348,168568,198911
26318,10610427,2546,3004
26319,10210747,110263,130110
26332,10910092,40000,47200
26333,10610397,3384,3993
26335,10610352,27600,32568
26339,10210779,13090,15446
26341,10210847,10212,12050
26342,10210778,42590,50257
26348,10610297,3914,4618
26349,11410001,21316,25153
26352,10610300,56000,66080
26356,10210870,6246,7370
26357,10210769,110020,115521
26360,10610296,10000,10500
26361,10211246,94933,111290
26363,10910076,2175,2567
26366,11210057,1525,1800
26368,10210774,6115,7216
26369,10610306,181875,214613
26370,10610311,3179,3751
26372,10910088,12600,14328
26376,10610301,40680,48002
26378,11410003,232830,274739
26380,10610334,4500,5760
26387,10210791,81435,96093
26388,10210877,1478,1743
26389,10210784,157027,185292
26390,10211199,10465,12349
26391,10211262,21261,25089
26392,11410017,580622,685135
26396,10910087,6780,7796
26399,10210934,13438,15857
26403,10210860,14332,16912
26404,10910078,2900,3422
26405,10210807,16815,19842
26407,10910079,2175,2567
26409,10610393,41650,49146
26411,10910147,5779,6819
26416,10211020,13780,16260
26422,10610304,7500,7875
26423,10210764,16187,19101
26428,10211102,21985,25942
26430,10210766,1,1
26432,10210770,158300,186794
26436,10610357,116000,136880
26440,11410002,224201,264558
26442,10610346,19666,23206
26443,10910085,2175,2567
26444,10210858,14556,17176
26445,10610313,61250,72275
26447,10610503,4630,5463
26448,10610329,19000,22420
26449,10210947,16200,19116
26450,10910081,2175,2567
26451,10210772,1600,1680
26453,10610325,18600,21948
26472,10210775,2474,2919
26496,11410004,22329,26348
26498,10210973,16514,19486
26506,11210058,25634,30248
26507,10610307,21600,25488
26508,10210824,60510,71402
26510,10210861,6315,7452
26511,10210812,3500,4130
26512,10910104,280613,331123
26514,10610308,104626,123459
26516,10211005,19292,22765
26518,10910083,2175,2567
26520,10211412,24590,29016
26523,10210935,197967,233601
26529,10210883,27330,32249
26530,10210813,14200,16756
26531,11410008,1084900,1280182
26535,10210781,218088,257344
26542,10210782,9211,10869
26545,10910084,10875,12833
26548,10610345,12474,14345
26551,10210795,30526,36021
26554,10610340,2000,2360
26561,10610376,108000,138240
26562,10210837,1344764,1586822
26564,10610321,819,966
26565,10610322,384,453
26567,10610323,517,610
26569,10610324,962,1135
26570,10610320,12669,14950
26571,10610319,3615,4266
26572,10210809,1314,1551
26573,10210970,105620,122112
26574,11210059,56289,66421
26576,10211239,109464,129168
26579,10210865,14726,17376
26581,10210949,311512,367584
26582,10210904,246992,268851
26585,10210802,15745,18579
26586,11410005,140936,166304
26590,10210944,19387,22877
26598,10610379,17550,22464
26600,10210801,2419,2855
26602,10211039,48819,57607
26604,10210835,20228,23869
26606,10610333,7700,9086
26608,10210909,77147,91033
26610,10210799,35730,42161
26612,10210803,80432,94910
26621,10610336,250052,280058
26624,11410007,31593,37280
26632,10610327,345773,408012
26635,10610394,3242,3826
26636,10610354,22978,27114
26637,10210816,1400,1652
26639,10211076,14362,16947
26640,10610330,37000,43660
26643,10910090,85000,100300
26644,11410013,215787,254629
26644,11410025,23100,27258
26657,10210853,24247,28611
26661,10610337,5604,6613
26662,10610428,153721,182463
26667,10210805,2001251,2361476
26676,10210974,15691,18516
26677,10210924,234982,277279
26678,10211051,175977,207653
26682,10210819,10518,12411
26684,10210821,57600,67968
26685,10210820,82530,97385
26689,10210857,11499,13322
26693,10210811,13995,16102
26695,10210874,178602,210750
26696,10210828,58000,58000
26700,10210856,54000,60480
26710,10210873,4620,5452
26711,10210822,390,460
26716,10211255,151350,178593
26717,10910096,1410,1572
26724,10210832,936,1105
26725,10210862,20063,23674
26726,10211189,241013,293670
26726,10211298,14322,16900
26726,10211347,11247,13272
26728,11410010,251332,296572
26729,11410009,29610,33163
26730,10910109,180952,220442
26731,10610338,5525,6520
26733,10210876,29348,32870
26734,10210826,136684,161287
26737,10910113,113858,145738
26738,10210825,1814484,2141091
26739,10610343,18052,21301
26746,10210889,73684,86947
26747,10210918,18947,22357
26748,10210829,1000,1050
26750,10610371,60824,71772
26751,10210841,22339,26360
26751,10210842,22339,26360
26752,10210840,22339,26360
26753,10210843,27331,32250
26770,10210833,42600,50268
26771,10210892,283754,334830
26771,10210897,283754,334830
26773,10210931,50100,59118
26774,10210885,28041,33088
26777,10210845,1200,1260
26778,10210834,1846304,2178639
26780,10210948,8947,10557
26789,10610349,21000,24780
26793,10610385,10429,12306
26796,10610347,2245,2649
26797,10210926,332026,391791
26802,10610342,12596,14753
26804,10210871,30000,35400
26823,11410024,48504,57235
