Inquiry number,company id,company name
10583,195,Larsen and Toubro Ltd.
9150,271,Raymond Ltd.
9152,271,Raymond Ltd.
8526,339,Vikram Sarabhai Space Centre
27086,1742,The Suryaa
27100,1760,ITC Maratha - A Luxury Collection Hotel
27103,1711,GMR Group
8556,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
2164,265,Quippo Oil and Gas Infrastructure Ltd.
2156,265,Quippo Oil and Gas Infrastructure Ltd.
8567,336,Vestas Wind Technology India Pvt. Ltd.
9170,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
8654,19,Aeromarine Pvt. Ltd.
10856,460,Satani Forge and Turn
10857,461,Atulya Polypack Pvt. Ltd.
9192,276,RMC Readymix India Pvt. Ltd.
9200,89,Deepak Fertilisers and Petrochemicals Corportion Ltd.
9203,193,Kubota Agricultural Machinery India Pvt. Ltd.
9214,271,Raymond Ltd.
9218,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
9235,122,GE India Industrial Pvt. Ltd. (Division: JFWTC)
9274,7,Cipla Ltd.
9289,204,Lupin Ltd.
9288,195,Larsen and Toubro Ltd.
9297,294,Shelf Drilling Offshore Services India Pvt. Ltd.
9304,36,Atma
9308,49,Bhagyanagar Gas Ltd.
39,298,Siddharth Enterprises
29,298,Siddharth Enterprises
16228,1351,Supack Industries Pvt. Ltd.
141,285,Schlumberger Asia Services Ltd.
9382,215,Maschio Gaspardo India Pvt. Ltd.
16229,715,Orbit Bearings India Pvt. Ltd.
9386,164,Indobox
16230,1130,Sumo Poly Plast Pvt. Ltd.
10321,294,Shelf Drilling Offshore Services India Pvt. Ltd.
16233,1441,Sundaram Fasteners Ltd.
9422,219,Maxxis Rubber India Pvt. Ltd.
10917,464,Shivani Power Engineers
25534,433,Defence Research and Development Organization
16239,476,Bhavani Industries
4803,7680,Amazon Online Sales
9492,294,Shelf Drilling Offshore Services India Pvt. Ltd.
9491,294,Shelf Drilling Offshore Services India Pvt. Ltd.
9496,288,Scottish Chemical Industries
19687,155,Indraprastha Gas Ltd.
9498,294,Shelf Drilling Offshore Services India Pvt. Ltd.
4805,7680,Amazon Online Sales
9512,226,Meluha - The Fern
19533,1357,Aditya Brila Nuvo Ltd.
4806,7680,Amazon Online Sales
16245,268,Raj Dies and Engineering
4807,7680,Amazon Online Sales
16246,811,Shree Dies
9522,294,Shelf Drilling Offshore Services India Pvt. Ltd.
9523,294,Shelf Drilling Offshore Services India Pvt. Ltd.
16248,824,Transfix India Pvt. Ltd.
10225,276,RMC Readymix India Pvt. Ltd.
9545,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
16250,682,Kalyani Thermal Processing Pvt. Ltd.
4851,7680,Amazon Online Sales
4875,7680,Amazon Online Sales
10154,347,Mohan Clothing Co. Pvt. Ltd.
9361,195,Larsen and Toubro Ltd.
4888,7680,Amazon Online Sales
4228,9,Survival Systems India
10331,338,Vigel Manufacturing Technologies Pvt. Ltd.
9646,419,HP International
9653,312,Sunflag Iron And Steel Co. Ltd.
9658,419,HP International
9669,490,Max MRO Services Pvt. Ltd.
3644,24,Allison Transmission India Pvt. Ltd.
9685,294,Shelf Drilling Offshore Services India Pvt. Ltd.
9689,307,Spartan Supply Pvt. Ltd.
9702,294,Shelf Drilling Offshore Services India Pvt. Ltd.
9707,294,Shelf Drilling Offshore Services India Pvt. Ltd.
9711,419,HP International
9723,274,Research Innovation Incubation Design Labs
9878,195,Larsen and Toubro Ltd.
9737,102,Engineers India Ltd.
4994,7680,Amazon Online Sales
9436,140,H-D Motor Co. India Pvt. Ltd.
12297,919,Esteem Auto Pvt. Ltd.
10130,347,Mohan Clothing Co. Pvt. Ltd.
5017,7680,Amazon Online Sales
9789,121,Wipro GE Healthcare Pvt. Ltd.
5054,166,Infinity Enterprises
9801,490,Max MRO Services Pvt. Ltd.
5035,7680,Amazon Online Sales
5055,7680,Amazon Online Sales
9815,419,HP International
5057,7680,Amazon Online Sales
5058,7680,Amazon Online Sales
12273,611,Demosha Chemicals Pvt. Ltd.
12265,914,Kansai Nerolac Paints Ltd.
12260,912,Mahaganpati Beverages Pvt. Ltd.
9847,450,Godrej Agrovet Ltd.
9852,419,HP International
12255,909,Varun Metacraft Pvt. Ltd.
9857,411,Achintyo Engineering LLP
12254,326,The Times of India Group
12253,402,Time Techno Plast Ltd.
5061,7680,Amazon Online Sales
5172,7680,Amazon Online Sales
12251,907,Remi Elektrotechnik Ltd.
9871,412,Island Star Mall Developers Pvt. Ltd.
5121,7680,Amazon Online Sales
9899,9,Survival Systems India
10247,431,Biyani Paper Converters Pvt. Ltd.
12220,267,Rail Coach Factory
12219,895,Jindal Saw Ltd.
12212,697,Ganga Forging Pvt. Ltd.
10008,419,HP International
184,128,GerOil Oil and Gas Products
12177,888,Vako Seals Pvt. Ltd.
10032,294,Shelf Drilling Offshore Services India Pvt. Ltd.
10040,64,Chris Garrod Global India Pvt. Ltd.
10042,312,Sunflag Iron And Steel Co. Ltd.
10050,347,Mohan Clothing Co. Pvt. Ltd.
10054,213,Mahindra Comviva
5175,7680,Amazon Online Sales
12171,885,Greenply Industries Ltd.
12169,881,Sona Koyo Steering Systems Ltd.
12166,865,Indian Transformers and Electrical
12140,878,Papers Worldwide India Services Pvt. Ltd.
12137,873,Coats India Ltd.
12136,95,Donatekart
16314,1272,Orchev Pharma Pvt. Ltd.
10114,338,Vigel Manufacturing Technologies Pvt. Ltd.
12124,815,Greiner Packaging India Pvt. Ltd.
12121,872,Ferroli Heating (South Asia) Pvt. Ltd.
12119,870,SI Group - India Ltd.
12111,867,Pratik Ready Mix Concrete
12105,864,Multitone Polypack Pvt.Ltd.
16319,536,Aim Filtertech Pvt. Ltd.
12094,326,The Times of India Group
10167,95,Donatekart
5407,7680,Amazon Online Sales
12068,490,Max MRO Services Pvt. Ltd.
10209,118,Galiakotwala Engineering Co. Pvt. Ltd.
998,230,Mohsin Bros.
12040,860,IMCD Asia Pacific Technical Centre
12036,213,Mahindra Comviva
12033,953,KMG Agro Foods Pvt. Ltd.
10272,193,Kubota Agricultural Machinery India Pvt. Ltd.
10274,271,Raymond Ltd.
12027,715,Orbit Bearings India Pvt. Ltd.
10294,324,Tata Projects Ltd.
10941,476,Bhavani Industries
10313,426,Indian Space Research Organization
12006,851,D.N.P. Ltd.
10349,449,Midland Credit Management India Pvt. Ltd.
5293,13,Aastral Industries
11999,595,Gabriel India Ltd.
11053,492,Max MRO India Pvt. Ltd.
10390,271,Raymond Ltd.
11995,849,Pricol Ltd.
