Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Process Company?,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Givaudan India Pvt. Ltd.,Givaudan India Pvt. Ltd.,No-Yes,Givaudan,Givaudan India,Customer
,GL and V India Pvt. Ltd.,GL and V India Pvt. Ltd.,No-Yes,GL and V,GL and V India,Customer
,GlaxoSmithKline Consumer Healthcare Ltd.,GlaxoSmithKline Consumer Healthcare Ltd.,No-Yes,GSK,GlaxoSmithKline,Customer
,GlaxoSmithKline Pharmaceuticals Ltd.,GlaxoSmithKline Pharmaceuticals Ltd.,No-Yes,GSK,GlaxoSmithKline,Customer
,G M Engineering Pvt. Ltd.,G M Engineering Pvt. Ltd.,No-Yes,GM Engineering,G M Engineering,Customer
,GMR Energy,GMR Energy,No-Yes,GMR,GMR Group,Customer
,GMR Group,GMR Group,No-Yes,GMR,GMR Group,Customer
,G.N. Altech,G.N Altech,Yes-No,G.N Altech,G.N Altech,Customer
,Graziano Trasmissioni India Pvt. Ltd.,Graziano Trasmissioni India Pvt. Ltd.,No-Yes,Graziano,Sparsh Welfare Trust,Customer
,Green Planet Machines Pvt. Ltd.,Green Planet Machines Pvt. Ltd.,No-Yes,Green Planet Machines,Green Planet Machine,Customer
,Greenply Industries Ltd.,Greenply Industries Ltd.,No-Yes,Greenply,Greenply Industries,Customer
,Greiner Engineering Products,Greiner Engineering Products,No-Yes,Greiner,Greiner Engineering,Customer
,Greiner Packaging India Pvt. Ltd.,Greiner Packaging India Pvt. Ltd.,No-Yes,Greiner,Greiner Packaging India,Customer
,Grover Sales Corporation,Grover Sales Corporation,No-Yes,Grover Sales,Grover Sales Corp,Customer
,GSH Facilities Management Services Pvt. Ltd.,GSH Facilities Management Services Pvt. Ltd.,No-Yes,GSH,GSH Group,Customer
,GSH Utilities Services Pvt. Ltd.,GSH Utilities Services Pvt. Ltd.,No-Yes,GSH,GSH Group,Customer
,G S Medical College and Hospital,G S Medical College and Hospital,No-Yes,GS Medical College,G S Medical College,Customer
,Gufic Biosciences Ltd.,Gufic Biosciences Ltd.,No-Yes,Gufic,Gufic Ltd.,Customer
,Gufic Lifescience Pvt. Ltd.,Gufic Lifescience Pvt. Ltd.,No-Yes,Gufic,Gufic Ltd.,Customer
,Gujrat Lathe Manufacturer Pvt. Ltd.,Gujrat Lathe Manufacturer Pvt. Ltd.,No-Yes,Gujrat Lathe,Gujrat Lathe Mfg,Customer
,Habasit Iakoka Pvt. Ltd.,Habasit Iakoka Pvt. Ltd.,No-Yes,Habasit Lakoka,Habasit Iakoka,Customer
,Haier Appliances India Pvt. Ltd.,Haier Appliances India Pvt. Ltd.,No-Yes,Haier,Haier Appliances,Customer
,HAL Offshore Ltd.,HAL Offshore Ltd.,No-Yes,HAL,HAL Offshore,Customer
,H-Energy Pvt. Ltd.,H-Energy Pvt. Ltd.,No-Yes,H-Energy,H Energy,Customer
,Henkel Jebel Ali FZCO,Henkel Jebel Ali FZCO,No-Yes,Henkel,Henkel Jebel Ali FZCO,Customer
,Hero Fasteners,Hero Fasteners,No-Yes,Hero,Hero Fasteners,Customer
,Hindustan Aeronautics Ltd.,Hindustan Aeronautics Ltd.,No-Yes,HAL,Hindustan Aeronautic,Customer
