invoice_number,created_at,inquiry_number,created_at,customer_committed_date,delivery_date,Date Difference,Cat,Delivery Date
202001542,2019-08-08 16:34:14,36994,2019-07-31 11:48:34,8/9/2019,8/9/2019,0,ON OR BEFORE TIME,8/9/2019
202001616,2019-08-14 12:14:54,34001,2019-04-26 11:35:50,5/14/2019,5/13/2019,-1,ON OR BEFORE TIME,5/13/2019
202001619,2019-08-14 15:32:34,34793,2019-05-21 12:43:23,5/23/2019,5/22/2019,-1,ON OR BEFORE TIME,5/22/2019
202001577,2019-08-12 12:13:19,34396,2019-05-08 17:57:40,5/20/2019,5/19/2019,-1,ON OR BEFORE TIME,5/19/2019
207000041,2019-08-02 11:49:13,35765,2019-06-21 17:04:56,8/6/2019,8/3/2019,-3,ON OR BEFORE TIME,8/3/2019
205000227,2019-08-12 12:28:35,36276,2019-07-09 18:18:33,7/30/2019,7/28/2019,-2,ON OR BEFORE TIME,7/28/2019
202001547,2019-08-08 18:23:46,36701,2019-07-23 12:09:32,7/29/2019,7/28/2019,-1,ON OR BEFORE TIME,7/28/2019
202001504,2019-08-06 15:40:48,32299,2019-03-02 11:24:05,8/30/2019,8/9/2019,-21,ON OR BEFORE TIME,8/9/2019
202001503,2019-08-06 15:37:16,32299,2019-03-02 11:24:05,8/30/2019,8/9/2019,-21,ON OR BEFORE TIME,8/9/2019
202001509,2019-08-06 17:15:21,36545,2019-07-18 14:17:30,8/6/2019,8/5/2019,-1,ON OR BEFORE TIME,8/5/2019
202001505,2019-08-06 15:51:53,36915,2019-07-29 12:42:57,8/20/2019,8/9/2019,-11,ON OR BEFORE TIME,8/9/2019
202001506,2019-08-06 15:59:06,37056,2019-08-01 12:02:51,8/10/2019,8/9/2019,-1,ON OR BEFORE TIME,8/9/2019
202001508,2019-08-06 16:25:45,36350,2019-07-11 16:01:01,7/12/2019,7/11/2019,-1,ON OR BEFORE TIME,7/11/2019
204000570,2019-08-13 15:37:05,36583,2019-07-19 12:10:32,8/16/2019,8/14/2019,-2,ON OR BEFORE TIME,8/14/2019
202001438,2019-08-01 11:13:54,36667,2019-07-22 17:27:34,7/25/2019,7/24/2019,-1,ON OR BEFORE TIME,7/24/2019
202001549,2019-08-08 19:02:17,31347,2019-01-31 16:38:52,2/15/2019,2/14/2019,-1,ON OR BEFORE TIME,2/14/2019
208000068,2019-08-12 12:49:03,36997,2019-07-31 12:08:35,8/6/2019,8/6/2019,0,ON OR BEFORE TIME,8/6/2019
205000210,2019-08-07 10:36:22,36985,2019-07-31 10:56:34,8/16/2019,8/8/2019,-8,ON OR BEFORE TIME,8/8/2019
202001457,2019-08-01 16:01:27,36675,2019-07-22 18:56:56,7/29/2019,7/29/2019,0,ON OR BEFORE TIME,7/29/2019
202001452,2019-08-01 12:16:17,36669,2019-07-22 17:46:16,8/2/2019,7/31/2019,-2,ON OR BEFORE TIME,7/31/2019
202001511,2019-08-07 10:46:38,36659,2019-07-22 15:37:58,7/30/2019,8/14/2019,15,DELAYED BY 14-28 DAYS,8/14/2019
205000209,2019-08-07 10:13:29,36129,2019-07-04 16:08:48,7/8/2019,7/7/2019,-1,ON OR BEFORE TIME,7/7/2019
201000030,2019-08-07 11:30:18,35247,2019-06-04 12:40:55,7/22/2019,7/20/2019,-2,ON OR BEFORE TIME,7/20/2019
201000031,2019-08-07 11:31:16,35875,2019-06-26 13:35:34,6/26/2019,6/25/2019,-1,ON OR BEFORE TIME,6/25/2019
204000560,2019-08-09 11:27:12,37122,2019-08-02 15:40:20,8/16/2019,8/16/2019,0,ON OR BEFORE TIME,8/16/2019
204000584,2019-08-19 17:22:56,37238,2019-08-06 14:34:44,9/7/2019,8/20/2019,-18,ON OR BEFORE TIME,8/20/2019
202001578,2019-08-12 13:01:10,29460,2018-12-01 11:30:01,7/11/2019,7/10/2019,-1,ON OR BEFORE TIME,7/10/2019
205000237,2019-08-14 18:04:52,37061,2019-08-01 13:24:57,8/14/2019,8/13/2019,-1,ON OR BEFORE TIME,8/13/2019
209000062,2019-08-19 16:22:05,37182,2019-08-05 15:14:14,7/11/2019,7/10/2019,-1,ON OR BEFORE TIME,7/10/2019
204000562,2019-08-12 13:15:11,36745,2019-07-24 11:30:42,8/10/2019,8/7/2019,-3,ON OR BEFORE TIME,8/7/2019
207000043,2019-08-12 13:49:06,37229,2019-08-06 11:55:30,8/20/2019,8/8/2019,-12,ON OR BEFORE TIME,8/8/2019
202001580,2019-08-12 15:23:09,35637,2019-06-18 14:27:12,7/10/2019,7/8/2019,-2,ON OR BEFORE TIME,7/8/2019
202001627,2019-08-14 18:08:21,37211,2019-08-05 17:27:24,8/26/2019,8/20/2019,-6,ON OR BEFORE TIME,8/20/2019
202001709,2019-08-21 16:44:23,36608,2019-07-19 17:39:52,8/16/2019,8/15/2019,-1,ON OR BEFORE TIME,8/15/2019
205000246,2019-08-21 17:35:31,37725,2019-08-19 15:25:34,8/21/2019,8/22/2019,1,DELAYED BY <2 DAYS,8/22/2019
202001706,2019-08-22 11:04:26,37821,2019-08-21 11:16:21,8/28/2019,8/9/2019,-19,ON OR BEFORE TIME,8/9/2019
202001728,2019-08-22 13:29:31,33332,2019-04-04 10:28:46,8/16/2019,8/14/2019,-2,ON OR BEFORE TIME,8/14/2019
202001731,2019-08-22 16:14:36,37833,2019-08-21 11:56:39,8/28/2019,8/23/2019,-5,ON OR BEFORE TIME,8/23/2019
204000564,2019-08-12 12:55:08,37342,2019-08-08 15:03:44,8/22/2019,8/16/2019,-6,ON OR BEFORE TIME,8/16/2019
209000063,2019-08-19 16:27:08,37185,2019-08-05 15:29:59,7/17/2019,7/16/2019,-1,ON OR BEFORE TIME,7/16/2019
202001461,2019-08-02 11:31:10,36924,2019-07-29 15:16:10,8/19/2019,8/6/2019,-13,ON OR BEFORE TIME,8/6/2019
202001628,2019-08-14 18:20:27,36386,2019-07-12 16:55:52,8/15/2019,8/14/2019,-1,ON OR BEFORE TIME,8/14/2019
204000593,2019-08-21 17:41:03,37510,2019-08-13 16:14:41,8/31/2019,8/23/2019,-8,ON OR BEFORE TIME,8/23/2019
204000597,2019-08-22 10:46:54,37238,2019-08-06 14:34:44,9/7/2019,8/22/2019,-16,ON OR BEFORE TIME,8/22/2019
202001630,2019-08-14 18:55:09,28146,2018-10-15 00:00:00,8/14/2019,8/13/2019,-1,ON OR BEFORE TIME,8/13/2019
202001635,2019-08-14 19:04:11,37346,2019-08-08 17:44:50,9/5/2019,8/17/2019,-19,ON OR BEFORE TIME,8/17/2019
204000546,2019-08-06 15:30:45,36646,2019-07-22 12:25:06,7/31/2019,7/29/2019,-2,ON OR BEFORE TIME,7/29/2019
205000221,2019-08-08 19:34:01,36821,2019-07-25 17:34:58,8/5/2019,8/2/2019,-3,ON OR BEFORE TIME,8/2/2019
202001631,2019-08-14 19:07:11,28874,2018-11-13 17:41:09,8/14/2019,8/13/2019,-1,ON OR BEFORE TIME,8/13/2019
205000226,2019-08-12 12:24:18,36821,2019-07-25 17:34:58,8/5/2019,8/2/2019,-3,ON OR BEFORE TIME,8/2/2019
202001636,2019-08-16 11:41:33,32304,2019-03-02 12:56:17,3/15/2019,3/14/2019,-1,ON OR BEFORE TIME,3/14/2019
209000077,2019-08-19 16:28:27,37185,2019-08-05 15:29:59,7/17/2019,7/16/2019,-1,ON OR BEFORE TIME,7/16/2019
205000249,2019-08-22 15:27:53,37325,2019-08-08 11:14:27,8/30/2019,8/23/2019,-7,ON OR BEFORE TIME,8/23/2019
202001552,2019-08-09 10:15:41,28679,2018-11-01 15:53:50,11/1/2018,10/31/2018,-1,ON OR BEFORE TIME,10/31/2018
205000250,2019-08-22 15:29:45,37324,2019-08-08 11:04:06,11/30/2019,8/23/2019,-99,ON OR BEFORE TIME,8/23/2019
202001550,2019-08-08 19:08:48,35613,2019-06-17 15:39:45,7/10/2019,7/9/2019,-1,ON OR BEFORE TIME,7/9/2019
202001548,2019-08-08 18:57:25,35154,2019-05-31 15:15:46,6/15/2019,6/14/2019,-1,ON OR BEFORE TIME,6/14/2019
202001553,2019-08-09 10:35:15,28216,2018-10-16 00:00:00,11/1/2018,10/31/2018,-1,ON OR BEFORE TIME,10/31/2018
202001666,2019-08-19 15:24:40,37663,2019-08-16 15:38:50,8/23/2019,2019-08-19,-4,ON OR BEFORE TIME,8/19/2019
202001554,2019-08-09 10:36:29,26423,2018-08-18 00:00:00,9/29/2018,9/28/2018,-1,ON OR BEFORE TIME,9/28/2018
